annotation_case_id,question_file_path,schema_file_path,checkpoint_material_path,verifier_evidence_path,endpoint_material_path,gt_sql_visible,cpfc_label_visible,material_hash
annot_001,annotation_materials/annot_001/question.txt,annotation_materials/annot_001/schema.sql,annotation_materials/annot_001/checkpoints.json,annotation_materials/annot_001/verification.json,annotation_materials/annot_001/endpoint.json,False,False,mat_928187
annot_002,annotation_materials/annot_002/question.txt,annotation_materials/annot_002/schema.sql,annotation_materials/annot_002/checkpoints.json,annotation_materials/annot_002/verification.json,annotation_materials/annot_002/endpoint.json,False,False,mat_972388
annot_003,annotation_materials/annot_003/question.txt,annotation_materials/annot_003/schema.sql,annotation_materials/annot_003/checkpoints.json,annotation_materials/annot_003/verification.json,annotation_materials/annot_003/endpoint.json,False,False,mat_186988
annot_004,annotation_materials/annot_004/question.txt,annotation_materials/annot_004/schema.sql,annotation_materials/annot_004/checkpoints.json,annotation_materials/annot_004/verification.json,annotation_materials/annot_004/endpoint.json,False,False,mat_669936
annot_005,annotation_materials/annot_005/question.txt,annotation_materials/annot_005/schema.sql,annotation_materials/annot_005/checkpoints.json,annotation_materials/annot_005/verification.json,annotation_materials/annot_005/endpoint.json,False,False,mat_225991
annot_006,annotation_materials/annot_006/question.txt,annotation_materials/annot_006/schema.sql,annotation_materials/annot_006/checkpoints.json,annotation_materials/annot_006/verification.json,annotation_materials/annot_006/endpoint.json,False,False,mat_502732
annot_007,annotation_materials/annot_007/question.txt,annotation_materials/annot_007/schema.sql,annotation_materials/annot_007/checkpoints.json,annotation_materials/annot_007/verification.json,annotation_materials/annot_007/endpoint.json,False,False,mat_606079
annot_008,annotation_materials/annot_008/question.txt,annotation_materials/annot_008/schema.sql,annotation_materials/annot_008/checkpoints.json,annotation_materials/annot_008/verification.json,annotation_materials/annot_008/endpoint.json,False,False,mat_626684
annot_009,annotation_materials/annot_009/question.txt,annotation_materials/annot_009/schema.sql,annotation_materials/annot_009/checkpoints.json,annotation_materials/annot_009/verification.json,annotation_materials/annot_009/endpoint.json,False,False,mat_184082
annot_010,annotation_materials/annot_010/question.txt,annotation_materials/annot_010/schema.sql,annotation_materials/annot_010/checkpoints.json,annotation_materials/annot_010/verification.json,annotation_materials/annot_010/endpoint.json,False,False,mat_228322
annot_011,annotation_materials/annot_011/question.txt,annotation_materials/annot_011/schema.sql,annotation_materials/annot_011/checkpoints.json,annotation_materials/annot_011/verification.json,annotation_materials/annot_011/endpoint.json,False,False,mat_756951
annot_012,annotation_materials/annot_012/question.txt,annotation_materials/annot_012/schema.sql,annotation_materials/annot_012/checkpoints.json,annotation_materials/annot_012/verification.json,annotation_materials/annot_012/endpoint.json,False,False,mat_111303
annot_013,annotation_materials/annot_013/question.txt,annotation_materials/annot_013/schema.sql,annotation_materials/annot_013/checkpoints.json,annotation_materials/annot_013/verification.json,annotation_materials/annot_013/endpoint.json,False,False,mat_261633
annot_014,annotation_materials/annot_014/question.txt,annotation_materials/annot_014/schema.sql,annotation_materials/annot_014/checkpoints.json,annotation_materials/annot_014/verification.json,annotation_materials/annot_014/endpoint.json,False,False,mat_433863
annot_015,annotation_materials/annot_015/question.txt,annotation_materials/annot_015/schema.sql,annotation_materials/annot_015/checkpoints.json,annotation_materials/annot_015/verification.json,annotation_materials/annot_015/endpoint.json,False,False,mat_349690
annot_016,annotation_materials/annot_016/question.txt,annotation_materials/annot_016/schema.sql,annotation_materials/annot_016/checkpoints.json,annotation_materials/annot_016/verification.json,annotation_materials/annot_016/endpoint.json,False,False,mat_884108
annot_017,annotation_materials/annot_017/question.txt,annotation_materials/annot_017/schema.sql,annotation_materials/annot_017/checkpoints.json,annotation_materials/annot_017/verification.json,annotation_materials/annot_017/endpoint.json,False,False,mat_199616
annot_018,annotation_materials/annot_018/question.txt,annotation_materials/annot_018/schema.sql,annotation_materials/annot_018/checkpoints.json,annotation_materials/annot_018/verification.json,annotation_materials/annot_018/endpoint.json,False,False,mat_186231
annot_019,annotation_materials/annot_019/question.txt,annotation_materials/annot_019/schema.sql,annotation_materials/annot_019/checkpoints.json,annotation_materials/annot_019/verification.json,annotation_materials/annot_019/endpoint.json,False,False,mat_369458
annot_020,annotation_materials/annot_020/question.txt,annotation_materials/annot_020/schema.sql,annotation_materials/annot_020/checkpoints.json,annotation_materials/annot_020/verification.json,annotation_materials/annot_020/endpoint.json,False,False,mat_119623
annot_021,annotation_materials/annot_021/question.txt,annotation_materials/annot_021/schema.sql,annotation_materials/annot_021/checkpoints.json,annotation_materials/annot_021/verification.json,annotation_materials/annot_021/endpoint.json,False,False,mat_823035
annot_022,annotation_materials/annot_022/question.txt,annotation_materials/annot_022/schema.sql,annotation_materials/annot_022/checkpoints.json,annotation_materials/annot_022/verification.json,annotation_materials/annot_022/endpoint.json,False,False,mat_590042
annot_023,annotation_materials/annot_023/question.txt,annotation_materials/annot_023/schema.sql,annotation_materials/annot_023/checkpoints.json,annotation_materials/annot_023/verification.json,annotation_materials/annot_023/endpoint.json,False,False,mat_558298
annot_024,annotation_materials/annot_024/question.txt,annotation_materials/annot_024/schema.sql,annotation_materials/annot_024/checkpoints.json,annotation_materials/annot_024/verification.json,annotation_materials/annot_024/endpoint.json,False,False,mat_576840
annot_025,annotation_materials/annot_025/question.txt,annotation_materials/annot_025/schema.sql,annotation_materials/annot_025/checkpoints.json,annotation_materials/annot_025/verification.json,annotation_materials/annot_025/endpoint.json,False,False,mat_205228
annot_026,annotation_materials/annot_026/question.txt,annotation_materials/annot_026/schema.sql,annotation_materials/annot_026/checkpoints.json,annotation_materials/annot_026/verification.json,annotation_materials/annot_026/endpoint.json,False,False,mat_526346
annot_027,annotation_materials/annot_027/question.txt,annotation_materials/annot_027/schema.sql,annotation_materials/annot_027/checkpoints.json,annotation_materials/annot_027/verification.json,annotation_materials/annot_027/endpoint.json,False,False,mat_807116
annot_028,annotation_materials/annot_028/question.txt,annotation_materials/annot_028/schema.sql,annotation_materials/annot_028/checkpoints.json,annotation_materials/annot_028/verification.json,annotation_materials/annot_028/endpoint.json,False,False,mat_984056
annot_029,annotation_materials/annot_029/question.txt,annotation_materials/annot_029/schema.sql,annotation_materials/annot_029/checkpoints.json,annotation_materials/annot_029/verification.json,annotation_materials/annot_029/endpoint.json,False,False,mat_781652
annot_030,annotation_materials/annot_030/question.txt,annotation_materials/annot_030/schema.sql,annotation_materials/annot_030/checkpoints.json,annotation_materials/annot_030/verification.json,annotation_materials/annot_030/endpoint.json,False,False,mat_998217
annot_031,annotation_materials/annot_031/question.txt,annotation_materials/annot_031/schema.sql,annotation_materials/annot_031/checkpoints.json,annotation_materials/annot_031/verification.json,annotation_materials/annot_031/endpoint.json,False,False,mat_620547
annot_032,annotation_materials/annot_032/question.txt,annotation_materials/annot_032/schema.sql,annotation_materials/annot_032/checkpoints.json,annotation_materials/annot_032/verification.json,annotation_materials/annot_032/endpoint.json,False,False,mat_972638
annot_033,annotation_materials/annot_033/question.txt,annotation_materials/annot_033/schema.sql,annotation_materials/annot_033/checkpoints.json,annotation_materials/annot_033/verification.json,annotation_materials/annot_033/endpoint.json,False,False,mat_169274
annot_034,annotation_materials/annot_034/question.txt,annotation_materials/annot_034/schema.sql,annotation_materials/annot_034/checkpoints.json,annotation_materials/annot_034/verification.json,annotation_materials/annot_034/endpoint.json,False,False,mat_233541
annot_035,annotation_materials/annot_035/question.txt,annotation_materials/annot_035/schema.sql,annotation_materials/annot_035/checkpoints.json,annotation_materials/annot_035/verification.json,annotation_materials/annot_035/endpoint.json,False,False,mat_153947
annot_036,annotation_materials/annot_036/question.txt,annotation_materials/annot_036/schema.sql,annotation_materials/annot_036/checkpoints.json,annotation_materials/annot_036/verification.json,annotation_materials/annot_036/endpoint.json,False,False,mat_777894
annot_037,annotation_materials/annot_037/question.txt,annotation_materials/annot_037/schema.sql,annotation_materials/annot_037/checkpoints.json,annotation_materials/annot_037/verification.json,annotation_materials/annot_037/endpoint.json,False,False,mat_294692
annot_038,annotation_materials/annot_038/question.txt,annotation_materials/annot_038/schema.sql,annotation_materials/annot_038/checkpoints.json,annotation_materials/annot_038/verification.json,annotation_materials/annot_038/endpoint.json,False,False,mat_148874
annot_039,annotation_materials/annot_039/question.txt,annotation_materials/annot_039/schema.sql,annotation_materials/annot_039/checkpoints.json,annotation_materials/annot_039/verification.json,annotation_materials/annot_039/endpoint.json,False,False,mat_673996
annot_040,annotation_materials/annot_040/question.txt,annotation_materials/annot_040/schema.sql,annotation_materials/annot_040/checkpoints.json,annotation_materials/annot_040/verification.json,annotation_materials/annot_040/endpoint.json,False,False,mat_174553
annot_041,annotation_materials/annot_041/question.txt,annotation_materials/annot_041/schema.sql,annotation_materials/annot_041/checkpoints.json,annotation_materials/annot_041/verification.json,annotation_materials/annot_041/endpoint.json,False,False,mat_692632
annot_042,annotation_materials/annot_042/question.txt,annotation_materials/annot_042/schema.sql,annotation_materials/annot_042/checkpoints.json,annotation_materials/annot_042/verification.json,annotation_materials/annot_042/endpoint.json,False,False,mat_935570
annot_043,annotation_materials/annot_043/question.txt,annotation_materials/annot_043/schema.sql,annotation_materials/annot_043/checkpoints.json,annotation_materials/annot_043/verification.json,annotation_materials/annot_043/endpoint.json,False,False,mat_809662
annot_044,annotation_materials/annot_044/question.txt,annotation_materials/annot_044/schema.sql,annotation_materials/annot_044/checkpoints.json,annotation_materials/annot_044/verification.json,annotation_materials/annot_044/endpoint.json,False,False,mat_671926
annot_045,annotation_materials/annot_045/question.txt,annotation_materials/annot_045/schema.sql,annotation_materials/annot_045/checkpoints.json,annotation_materials/annot_045/verification.json,annotation_materials/annot_045/endpoint.json,False,False,mat_178249
annot_046,annotation_materials/annot_046/question.txt,annotation_materials/annot_046/schema.sql,annotation_materials/annot_046/checkpoints.json,annotation_materials/annot_046/verification.json,annotation_materials/annot_046/endpoint.json,False,False,mat_992297
annot_047,annotation_materials/annot_047/question.txt,annotation_materials/annot_047/schema.sql,annotation_materials/annot_047/checkpoints.json,annotation_materials/annot_047/verification.json,annotation_materials/annot_047/endpoint.json,False,False,mat_627007
annot_048,annotation_materials/annot_048/question.txt,annotation_materials/annot_048/schema.sql,annotation_materials/annot_048/checkpoints.json,annotation_materials/annot_048/verification.json,annotation_materials/annot_048/endpoint.json,False,False,mat_778250
annot_049,annotation_materials/annot_049/question.txt,annotation_materials/annot_049/schema.sql,annotation_materials/annot_049/checkpoints.json,annotation_materials/annot_049/verification.json,annotation_materials/annot_049/endpoint.json,False,False,mat_570452
annot_050,annotation_materials/annot_050/question.txt,annotation_materials/annot_050/schema.sql,annotation_materials/annot_050/checkpoints.json,annotation_materials/annot_050/verification.json,annotation_materials/annot_050/endpoint.json,False,False,mat_529725
annot_051,annotation_materials/annot_051/question.txt,annotation_materials/annot_051/schema.sql,annotation_materials/annot_051/checkpoints.json,annotation_materials/annot_051/verification.json,annotation_materials/annot_051/endpoint.json,False,False,mat_142534
annot_052,annotation_materials/annot_052/question.txt,annotation_materials/annot_052/schema.sql,annotation_materials/annot_052/checkpoints.json,annotation_materials/annot_052/verification.json,annotation_materials/annot_052/endpoint.json,False,False,mat_595518
annot_053,annotation_materials/annot_053/question.txt,annotation_materials/annot_053/schema.sql,annotation_materials/annot_053/checkpoints.json,annotation_materials/annot_053/verification.json,annotation_materials/annot_053/endpoint.json,False,False,mat_716529
annot_054,annotation_materials/annot_054/question.txt,annotation_materials/annot_054/schema.sql,annotation_materials/annot_054/checkpoints.json,annotation_materials/annot_054/verification.json,annotation_materials/annot_054/endpoint.json,False,False,mat_512003
annot_055,annotation_materials/annot_055/question.txt,annotation_materials/annot_055/schema.sql,annotation_materials/annot_055/checkpoints.json,annotation_materials/annot_055/verification.json,annotation_materials/annot_055/endpoint.json,False,False,mat_226209
annot_056,annotation_materials/annot_056/question.txt,annotation_materials/annot_056/schema.sql,annotation_materials/annot_056/checkpoints.json,annotation_materials/annot_056/verification.json,annotation_materials/annot_056/endpoint.json,False,False,mat_542061
annot_057,annotation_materials/annot_057/question.txt,annotation_materials/annot_057/schema.sql,annotation_materials/annot_057/checkpoints.json,annotation_materials/annot_057/verification.json,annotation_materials/annot_057/endpoint.json,False,False,mat_289004
annot_058,annotation_materials/annot_058/question.txt,annotation_materials/annot_058/schema.sql,annotation_materials/annot_058/checkpoints.json,annotation_materials/annot_058/verification.json,annotation_materials/annot_058/endpoint.json,False,False,mat_716412
annot_059,annotation_materials/annot_059/question.txt,annotation_materials/annot_059/schema.sql,annotation_materials/annot_059/checkpoints.json,annotation_materials/annot_059/verification.json,annotation_materials/annot_059/endpoint.json,False,False,mat_715947
annot_060,annotation_materials/annot_060/question.txt,annotation_materials/annot_060/schema.sql,annotation_materials/annot_060/checkpoints.json,annotation_materials/annot_060/verification.json,annotation_materials/annot_060/endpoint.json,False,False,mat_264134
annot_061,annotation_materials/annot_061/question.txt,annotation_materials/annot_061/schema.sql,annotation_materials/annot_061/checkpoints.json,annotation_materials/annot_061/verification.json,annotation_materials/annot_061/endpoint.json,False,False,mat_175713
annot_062,annotation_materials/annot_062/question.txt,annotation_materials/annot_062/schema.sql,annotation_materials/annot_062/checkpoints.json,annotation_materials/annot_062/verification.json,annotation_materials/annot_062/endpoint.json,False,False,mat_842623
annot_063,annotation_materials/annot_063/question.txt,annotation_materials/annot_063/schema.sql,annotation_materials/annot_063/checkpoints.json,annotation_materials/annot_063/verification.json,annotation_materials/annot_063/endpoint.json,False,False,mat_588972
annot_064,annotation_materials/annot_064/question.txt,annotation_materials/annot_064/schema.sql,annotation_materials/annot_064/checkpoints.json,annotation_materials/annot_064/verification.json,annotation_materials/annot_064/endpoint.json,False,False,mat_175418
annot_065,annotation_materials/annot_065/question.txt,annotation_materials/annot_065/schema.sql,annotation_materials/annot_065/checkpoints.json,annotation_materials/annot_065/verification.json,annotation_materials/annot_065/endpoint.json,False,False,mat_228232
annot_066,annotation_materials/annot_066/question.txt,annotation_materials/annot_066/schema.sql,annotation_materials/annot_066/checkpoints.json,annotation_materials/annot_066/verification.json,annotation_materials/annot_066/endpoint.json,False,False,mat_620551
annot_067,annotation_materials/annot_067/question.txt,annotation_materials/annot_067/schema.sql,annotation_materials/annot_067/checkpoints.json,annotation_materials/annot_067/verification.json,annotation_materials/annot_067/endpoint.json,False,False,mat_263038
annot_068,annotation_materials/annot_068/question.txt,annotation_materials/annot_068/schema.sql,annotation_materials/annot_068/checkpoints.json,annotation_materials/annot_068/verification.json,annotation_materials/annot_068/endpoint.json,False,False,mat_268383
annot_069,annotation_materials/annot_069/question.txt,annotation_materials/annot_069/schema.sql,annotation_materials/annot_069/checkpoints.json,annotation_materials/annot_069/verification.json,annotation_materials/annot_069/endpoint.json,False,False,mat_918007
annot_070,annotation_materials/annot_070/question.txt,annotation_materials/annot_070/schema.sql,annotation_materials/annot_070/checkpoints.json,annotation_materials/annot_070/verification.json,annotation_materials/annot_070/endpoint.json,False,False,mat_425996
annot_071,annotation_materials/annot_071/question.txt,annotation_materials/annot_071/schema.sql,annotation_materials/annot_071/checkpoints.json,annotation_materials/annot_071/verification.json,annotation_materials/annot_071/endpoint.json,False,False,mat_358722
annot_072,annotation_materials/annot_072/question.txt,annotation_materials/annot_072/schema.sql,annotation_materials/annot_072/checkpoints.json,annotation_materials/annot_072/verification.json,annotation_materials/annot_072/endpoint.json,False,False,mat_232079
annot_073,annotation_materials/annot_073/question.txt,annotation_materials/annot_073/schema.sql,annotation_materials/annot_073/checkpoints.json,annotation_materials/annot_073/verification.json,annotation_materials/annot_073/endpoint.json,False,False,mat_302053
annot_074,annotation_materials/annot_074/question.txt,annotation_materials/annot_074/schema.sql,annotation_materials/annot_074/checkpoints.json,annotation_materials/annot_074/verification.json,annotation_materials/annot_074/endpoint.json,False,False,mat_700530
annot_075,annotation_materials/annot_075/question.txt,annotation_materials/annot_075/schema.sql,annotation_materials/annot_075/checkpoints.json,annotation_materials/annot_075/verification.json,annotation_materials/annot_075/endpoint.json,False,False,mat_278589
annot_076,annotation_materials/annot_076/question.txt,annotation_materials/annot_076/schema.sql,annotation_materials/annot_076/checkpoints.json,annotation_materials/annot_076/verification.json,annotation_materials/annot_076/endpoint.json,False,False,mat_603238
annot_077,annotation_materials/annot_077/question.txt,annotation_materials/annot_077/schema.sql,annotation_materials/annot_077/checkpoints.json,annotation_materials/annot_077/verification.json,annotation_materials/annot_077/endpoint.json,False,False,mat_129257
annot_078,annotation_materials/annot_078/question.txt,annotation_materials/annot_078/schema.sql,annotation_materials/annot_078/checkpoints.json,annotation_materials/annot_078/verification.json,annotation_materials/annot_078/endpoint.json,False,False,mat_580488
annot_079,annotation_materials/annot_079/question.txt,annotation_materials/annot_079/schema.sql,annotation_materials/annot_079/checkpoints.json,annotation_materials/annot_079/verification.json,annotation_materials/annot_079/endpoint.json,False,False,mat_535423
annot_080,annotation_materials/annot_080/question.txt,annotation_materials/annot_080/schema.sql,annotation_materials/annot_080/checkpoints.json,annotation_materials/annot_080/verification.json,annotation_materials/annot_080/endpoint.json,False,False,mat_244353
annot_081,annotation_materials/annot_081/question.txt,annotation_materials/annot_081/schema.sql,annotation_materials/annot_081/checkpoints.json,annotation_materials/annot_081/verification.json,annotation_materials/annot_081/endpoint.json,False,False,mat_423390
annot_082,annotation_materials/annot_082/question.txt,annotation_materials/annot_082/schema.sql,annotation_materials/annot_082/checkpoints.json,annotation_materials/annot_082/verification.json,annotation_materials/annot_082/endpoint.json,False,False,mat_363579
annot_083,annotation_materials/annot_083/question.txt,annotation_materials/annot_083/schema.sql,annotation_materials/annot_083/checkpoints.json,annotation_materials/annot_083/verification.json,annotation_materials/annot_083/endpoint.json,False,False,mat_329947
annot_084,annotation_materials/annot_084/question.txt,annotation_materials/annot_084/schema.sql,annotation_materials/annot_084/checkpoints.json,annotation_materials/annot_084/verification.json,annotation_materials/annot_084/endpoint.json,False,False,mat_331758
annot_085,annotation_materials/annot_085/question.txt,annotation_materials/annot_085/schema.sql,annotation_materials/annot_085/checkpoints.json,annotation_materials/annot_085/verification.json,annotation_materials/annot_085/endpoint.json,False,False,mat_715645
