case_id,difficulty_tier
dtest_case_0000,standard
dtest_case_0001,standard
dtest_case_0002,standard
dtest_case_0003,standard
dtest_case_0004,standard
dtest_case_0005,standard
dtest_case_0006,standard
dtest_case_0007,standard
dtest_case_0008,complex
dtest_case_0009,complex
dtest_case_0010,complex
dtest_case_0011,standard
dtest_case_0012,standard
dtest_case_0013,standard
dtest_case_0014,standard
dtest_case_0015,standard
dtest_case_0016,standard
dtest_case_0017,standard
dtest_case_0018,standard
dtest_case_0019,complex
dtest_case_0020,standard
dtest_case_0021,complex
dtest_case_0022,complex
dtest_case_0023,standard
dtest_case_0024,standard
dtest_case_0025,complex
dtest_case_0026,standard
dtest_case_0027,standard
dtest_case_0028,standard
dtest_case_0029,standard
dtest_case_0030,standard
dtest_case_0031,deep_nesting
dtest_case_0032,standard
dtest_case_0033,standard
dtest_case_0034,standard
dtest_case_0035,deep_nesting
dtest_case_0036,deep_nesting
dtest_case_0037,standard
dtest_case_0038,standard
dtest_case_0039,standard
dtest_case_0040,standard
dtest_case_0041,standard
dtest_case_0042,complex
dtest_case_0043,standard
dtest_case_0044,standard
dtest_case_0045,complex
dtest_case_0046,complex
dtest_case_0047,standard
dtest_case_0048,complex
dtest_case_0049,standard
dtest_case_0050,standard
dtest_case_0051,deep_nesting
dtest_case_0052,standard
dtest_case_0053,standard
dtest_case_0054,complex
dtest_case_0055,complex
dtest_case_0056,complex
dtest_case_0057,deep_nesting
dtest_case_0058,standard
dtest_case_0059,deep_nesting
dtest_case_0060,standard
dtest_case_0061,standard
dtest_case_0062,complex
dtest_case_0063,complex
dtest_case_0064,standard
dtest_case_0065,complex
dtest_case_0066,standard
dtest_case_0067,standard
dtest_case_0068,standard
dtest_case_0069,standard
dtest_case_0070,standard
dtest_case_0071,standard
dtest_case_0072,deep_nesting
dtest_case_0073,standard
dtest_case_0074,standard
dtest_case_0075,deep_nesting
dtest_case_0076,standard
dtest_case_0077,standard
dtest_case_0078,standard
dtest_case_0079,standard
dtest_case_0080,standard
dtest_case_0081,standard
dtest_case_0082,standard
dtest_case_0083,standard
dtest_case_0084,standard
dtest_case_0085,standard
dtest_case_0086,complex
dtest_case_0087,complex
dtest_case_0088,standard
dtest_case_0089,standard
dtest_case_0090,complex
dtest_case_0091,standard
dtest_case_0092,standard
dtest_case_0093,standard
dtest_case_0094,standard
dtest_case_0095,complex
dtest_case_0096,complex
dtest_case_0097,standard
dtest_case_0098,standard
dtest_case_0099,standard
dtest_case_0100,complex
dtest_case_0101,standard
dtest_case_0102,complex
dtest_case_0103,standard
dtest_case_0104,standard
dtest_case_0105,standard
dtest_case_0106,standard
dtest_case_0107,standard
dtest_case_0108,complex
dtest_case_0109,complex
dtest_case_0110,complex
dtest_case_0111,standard
dtest_case_0112,standard
dtest_case_0113,standard
dtest_case_0114,deep_nesting
dtest_case_0115,complex
dtest_case_0116,standard
dtest_case_0117,standard
dtest_case_0118,standard
dtest_case_0119,standard
dtest_case_0120,complex
dtest_case_0121,complex
dtest_case_0122,standard
dtest_case_0123,complex
dtest_case_0124,complex
dtest_case_0125,deep_nesting
dtest_case_0126,complex
dtest_case_0127,standard
dtest_case_0128,complex
dtest_case_0129,standard
dtest_case_0130,standard
dtest_case_0131,standard
dtest_case_0132,complex
dtest_case_0133,complex
dtest_case_0134,complex
dtest_case_0135,standard
dtest_case_0136,standard
dtest_case_0137,standard
dtest_case_0138,standard
dtest_case_0139,standard
dtest_case_0140,standard
dtest_case_0141,standard
dtest_case_0142,standard
dtest_case_0143,complex
dtest_case_0144,standard
dtest_case_0145,complex
dtest_case_0146,standard
dtest_case_0147,deep_nesting
dtest_case_0148,standard
dtest_case_0149,standard
dtest_case_0150,complex
dtest_case_0151,standard
dtest_case_0152,complex
dtest_case_0153,standard
dtest_case_0154,complex
dtest_case_0155,complex
dtest_case_0156,standard
dtest_case_0157,complex
dtest_case_0158,standard
dtest_case_0159,complex
dtest_case_0160,standard
dtest_case_0161,complex
dtest_case_0162,complex
dtest_case_0163,complex
dtest_case_0164,standard
dtest_case_0165,complex
dtest_case_0166,complex
dtest_case_0167,complex
dtest_case_0168,standard
dtest_case_0169,standard
dtest_case_0170,complex
dtest_case_0171,standard
dtest_case_0172,standard
dtest_case_0173,deep_nesting
dtest_case_0174,standard
dtest_case_0175,complex
dtest_case_0176,standard
dtest_case_0177,standard
dtest_case_0178,complex
dtest_case_0179,complex
dtest_case_0180,standard
dtest_case_0181,standard
dtest_case_0182,deep_nesting
dtest_case_0183,complex
dtest_case_0184,complex
dtest_case_0185,complex
dtest_case_0186,complex
dtest_case_0187,standard
dtest_case_0188,standard
dtest_case_0189,standard
dtest_case_0190,complex
dtest_case_0191,deep_nesting
dtest_case_0192,standard
dtest_case_0193,complex
dtest_case_0194,standard
dtest_case_0195,complex
dtest_case_0196,complex
dtest_case_0197,standard
dtest_case_0198,standard
dtest_case_0199,deep_nesting
dtest_case_0200,standard
dtest_case_0201,standard
dtest_case_0202,standard
dtest_case_0203,complex
dtest_case_0204,standard
dtest_case_0205,standard
dtest_case_0206,standard
dtest_case_0207,standard
dtest_case_0208,standard
dtest_case_0209,complex
dtest_case_0210,standard
dtest_case_0211,standard
dtest_case_0212,standard
dtest_case_0213,standard
dtest_case_0214,deep_nesting
dtest_case_0215,deep_nesting
dtest_case_0216,standard
dtest_case_0217,standard
dtest_case_0218,standard
dtest_case_0219,complex
dtest_case_0220,standard
dtest_case_0221,standard
dtest_case_0222,standard
dtest_case_0223,deep_nesting
dtest_case_0224,standard
dtest_case_0225,complex
dtest_case_0226,standard
dtest_case_0227,standard
dtest_case_0228,complex
dtest_case_0229,complex
dtest_case_0230,complex
dtest_case_0231,standard
dtest_case_0232,complex
dtest_case_0233,standard
dtest_case_0234,standard
dtest_case_0235,complex
dtest_case_0236,deep_nesting
dtest_case_0237,deep_nesting
dtest_case_0238,complex
dtest_case_0239,standard
dtest_case_0240,standard
dtest_case_0241,standard
dtest_case_0242,complex
dtest_case_0243,deep_nesting
dtest_case_0244,standard
