case_id,spider_question_id,database_id,split,model_source,difficulty_tier,num_checkpoints,num_checkable_checkpoints,num_unverifiable_checkpoints,endpoint_correct,checkpoint_degraded_flag,deep_nesting_flag,boundary_flag,include_onset_eval,include_pattern_eval,exclusion_reason,created_at,input_hash_or_manifest
dtest_case_0000,spider_q6565,geo,dtest,gpt-4,complex,3,3,0,False,True,True,False,True,True,,2025-01-15 08:30:00,aa54087cd9eb0c7b
dtest_case_0001,spider_q8241,hr,dtest,gemini-pro,hard,3,2,1,False,True,True,False,True,True,,2025-01-15 08:30:00,e8b35f2f2186d33e
dtest_case_0002,spider_q8651,geo,dtest,claude-3,hard,3,3,0,False,True,True,False,True,True,,2025-01-15 08:30:00,cf230b96fcab00ae
dtest_case_0003,spider_q6575,restaurant,dtest,claude-3,medium,3,2,1,False,False,True,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,251919b759a3c01e
dtest_case_0004,spider_q2589,world,dtest,claude-3,complex,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,444b6f6467e05775
dtest_case_0005,spider_q9851,imdb,dtest,gemini-pro,easy,3,1,2,True,False,True,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,afaf63b5f29a5bb8
dtest_case_0006,spider_q1159,academic,dtest,codellama,hard,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,fce1f4fdf2315b82
dtest_case_0007,spider_q7555,academic,dtest,gemini-pro,easy,3,3,0,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,77388688b55f8fe6
dtest_case_0008,spider_q9244,scholar,dtest,mistral,medium,3,1,2,False,False,True,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,724edd9328e036b6
dtest_case_0009,spider_q7846,world,dtest,gemini-pro,medium,3,2,1,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,265fec3e7f937744
dtest_case_0010,spider_q3307,world,dtest,claude-3,medium,3,1,2,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,461cef5b918bba01
dtest_case_0011,spider_q2228,restaurant,dtest,gpt-4,hard,3,2,1,False,True,True,False,True,True,,2025-01-15 08:30:00,6e50271668f8e16e
dtest_case_0012,spider_q8226,world,dtest,gemini-pro,medium,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,b4de54c81019c042
dtest_case_0013,spider_q6590,imdb,dtest,gemini-pro,medium,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,6071fff19cf7af9c
dtest_case_0014,spider_q7919,geo,dtest,claude-3,medium,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,013607325b8530ce
dtest_case_0015,spider_q6585,world,dtest,gpt-4,medium,3,2,1,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,0a448c2ceef46185
dtest_case_0016,spider_q7046,world,dtest,gpt-4,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,740fd3cdf9ba35e3
dtest_case_0017,spider_q5945,restaurant,dtest,mistral,easy,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,fd955ef6dc7d984f
dtest_case_0018,spider_q8927,hr,dtest,gemini-pro,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,a92ed51c50dcb8c5
dtest_case_0019,spider_q8016,yelp,dtest,gpt-4,hard,3,3,0,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,7294842ca0888c10
dtest_case_0020,spider_q8758,hr,dtest,gpt-4,hard,3,3,0,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,c26f6fed8720656c
dtest_case_0021,spider_q6086,restaurant,dtest,codellama,medium,3,3,0,True,True,False,False,True,True,,2025-01-15 08:30:00,619c0935707c4876
dtest_case_0022,spider_q8161,hr,dtest,codellama,medium,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,e8c142c329cb7dde
dtest_case_0023,spider_q2884,restaurant,dtest,gpt-4,complex,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,37400d8ae3584197
dtest_case_0024,spider_q2809,imdb,dtest,mistral,hard,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,163ba71b0b4c7ca8
dtest_case_0025,spider_q4167,scholar,dtest,gpt-4,medium,3,2,1,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,2ad0d33bf26f0b0d
dtest_case_0026,spider_q7352,world,dtest,claude-3,easy,3,3,0,True,False,False,True,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,b86d6c7fa89ea662
dtest_case_0027,spider_q7056,restaurant,dtest,gemini-pro,medium,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,528e19d939975eae
dtest_case_0028,spider_q3437,restaurant,dtest,mistral,medium,3,1,2,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,be0925292879d908
dtest_case_0029,spider_q7468,yelp,dtest,claude-3,medium,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,2a5d3f51e98582d6
dtest_case_0030,spider_q6951,restaurant,dtest,mistral,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,99145600245b2f8f
dtest_case_0031,spider_q6276,academic,dtest,claude-3,hard,3,3,0,True,False,True,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,cd187e8bd8d81de9
dtest_case_0032,spider_q9859,scholar,dtest,gemini-pro,hard,3,1,2,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,88cd537c31694935
dtest_case_0033,spider_q8818,world,dtest,gemini-pro,hard,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,5203a1d50fbdd34c
dtest_case_0034,spider_q5728,world,dtest,codellama,complex,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,da7251dabfe5f0a9
dtest_case_0035,spider_q3624,yelp,dtest,claude-3,hard,3,1,2,False,True,False,False,True,True,,2025-01-15 08:30:00,43137e787cfc3126
dtest_case_0036,spider_q6738,imdb,dtest,codellama,complex,3,1,2,False,False,False,False,True,False,degraded_but_unverifiable,2025-01-15 08:30:00,b99252eddda8bb3e
dtest_case_0037,spider_q5232,world,dtest,claude-3,easy,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,d332588a9d443fc3
dtest_case_0038,spider_q6793,academic,dtest,codellama,medium,3,3,0,False,True,True,False,True,True,,2025-01-15 08:30:00,34f5de29a096d502
dtest_case_0039,spider_q5523,world,dtest,gemini-pro,easy,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,4b4c35f00fd3fea2
dtest_case_0040,spider_q6571,academic,dtest,mistral,hard,3,3,0,True,False,True,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,0df60e34e7aa01de
dtest_case_0041,spider_q3224,scholar,dtest,codellama,complex,3,3,0,False,True,False,False,True,True,,2025-01-15 08:30:00,3da12c9af08bb208
dtest_case_0042,spider_q9389,scholar,dtest,claude-3,medium,3,3,0,True,False,False,False,False,False,endpoint_correct_no_degradation,2025-01-15 08:30:00,d4830b8b1bdeb8f4
dtest_case_0043,spider_q7091,geo,dtest,claude-3,complex,3,2,1,False,True,False,False,True,True,,2025-01-15 08:30:00,bba0cad7a0d09d70
