state_id,state_name,trigger_condition,diagnostic_input,allowed_output,forbidden_interpretation,next_state,manuscript_location
S01,cardinal_rejected_ordinal_only,calibration bias > threshold (0.15),calibration_boundary_from_A7: calibration_bias = 0.23,ordinal population-level protocol-defined diagnostic output,"cardinal probability, absolute uncertainty, cross-domain generalization",S03_or_S04,Section 5.2
S02,original_specification_rejected,held-out R² < 0,model_diagnostic_results: held-out R² validation,model specification rejected; alternative specification required,any claim based on rejected specification,S05,Section 5.3
S03,retained_model_admissible,Ljung-Box p > 0.05 AND not dominated by AIC/BIC,"model_diagnostic_results: Ljung_Box_p = 0.342, AIC = 289.1, BIC = 334.3 (not dominated)",ordinal population-level protocol-defined diagnostic output; within-protocol model comparison,"individual instance prediction, causal mechanism identification",S08_or_S09_or_S10,Section 5.4
S04,retained_model_provisional,marginal whiteness (0.01 < p <= 0.05) OR near-dominated (AIC or BIC only),"model_diagnostic_results: Ljung_Box_p = 0.087 (marginal), AIC = 312.5, BIC = 338.4",provisional ordinal diagnostic with explicit caveat; sensitivity analysis required,definitive population-level claim without caveat,S03_or_S05,Section 5.5
S05,non_identifiable,residual non-white (p <= 0.01) AND simpler models have better AIC/BIC,"model_diagnostic_results: M9_overfitted Ljung_Box_p = 0.023, AIC not best",no admissible model identified; ordinal descriptive statistics only,"any model-based inference, population-level generalization",TERMINAL,Section 5.6
S06,scope_boundary,deep_nesting (>3 levels) OR unverifiable schema elements,"scope_boundary_from_A4: max_nesting_depth = 4, unverifiable_elements = True",instance excluded from analysis; scope boundary noted,any inference about excluded instances,S07,Section 5.7
S07,unverifiable_excluded,P4 gate fails (post-hoc availability violated),scope_boundary_from_A4: unverifiable_elements = True,excluded from protocol analysis; reason documented,checkpoint outcomes for excluded instances,TERMINAL,Section 5.8
S08,external_agreement_supported,Cohen's kappa >= 0.60,external_annotation_status: overall kappa = 0.78 >= 0.60,ordinal population-level protocol-defined diagnostic output with external validation,"individual prediction, cross-domain generalization",S03 (confirmed),Section 6.1
S09,external_agreement_partial,0.40 <= Cohen's kappa < 0.60,external_annotation_status: schema_linking kappa = 0.58,exploratory observation only; partial external validation noted,definitive validated diagnostic claim,S04 (provisional),Section 6.2
S10,external_agreement_not_supported,Cohen's kappa < 0.40,external_annotation_status: no instances below threshold in this analysis,exploratory observation only; no external validation claim,"validated diagnostic claim, externally confirmed pattern",TERMINAL (downgrade),Section 6.3
