record_id,case_id,spider_question_id,database_id,human_rank,model_rank,rank_agreement,bias_injection_level,is_gold_standard,annotator_id,annotation_timestamp
gold50_000,dtest_case_0000,q1,db_052,3,2,True,0%,True,annotator_A,2025-01-10T17:27:00Z
gold50_001,dtest_case_0001,q2,db_181,2,1,True,0%,True,annotator_C,2025-01-10T10:57:00Z
gold50_002,dtest_case_0002,q3,db_153,2,5,False,0%,True,annotator_B,2025-01-10T12:56:00Z
gold50_003,dtest_case_0003,q4,db_130,5,2,True,0%,True,annotator_C,2025-01-10T14:51:00Z
gold50_004,dtest_case_0004,q5,db_160,5,2,True,0%,True,annotator_C,2025-01-10T15:53:00Z
gold50_005,dtest_case_0005,q6,db_111,1,5,True,0%,True,annotator_B,2025-01-10T13:02:00Z
gold50_006,dtest_case_0006,q7,db_167,2,1,False,0%,True,annotator_C,2025-01-10T11:10:00Z
gold50_007,dtest_case_0007,q8,db_057,1,2,False,0%,True,annotator_C,2025-01-10T11:33:00Z
gold50_008,dtest_case_0008,q9,db_112,2,5,True,0%,True,annotator_B,2025-01-10T17:00:00Z
gold50_009,dtest_case_0009,q10,db_175,1,5,True,0%,True,annotator_B,2025-01-10T11:06:00Z
gold50_010,dtest_case_0010,q11,db_115,4,1,True,0%,True,annotator_B,2025-01-10T10:04:00Z
gold50_011,dtest_case_0011,q12,db_028,4,4,False,0%,True,annotator_A,2025-01-10T15:50:00Z
gold50_012,dtest_case_0012,q13,db_053,4,3,False,0%,True,annotator_B,2025-01-10T11:37:00Z
gold50_013,dtest_case_0013,q14,db_185,1,2,True,0%,True,annotator_B,2025-01-10T11:47:00Z
gold50_014,dtest_case_0014,q15,db_032,5,3,True,0%,True,annotator_B,2025-01-10T11:28:00Z
gold50_015,dtest_case_0015,q16,db_106,3,1,False,0%,True,annotator_B,2025-01-10T13:24:00Z
gold50_016,dtest_case_0016,q17,db_130,5,2,True,0%,True,annotator_B,2025-01-10T09:39:00Z
gold50_017,dtest_case_0017,q18,db_007,3,3,False,0%,True,annotator_C,2025-01-10T16:58:00Z
gold50_018,dtest_case_0018,q19,db_127,4,4,True,0%,True,annotator_B,2025-01-10T10:59:00Z
gold50_019,dtest_case_0019,q20,db_081,1,2,False,0%,True,annotator_A,2025-01-10T09:07:00Z
gold50_020,dtest_case_0020,q21,db_068,5,1,True,0%,True,annotator_C,2025-01-10T14:27:00Z
gold50_021,dtest_case_0021,q22,db_010,2,5,False,0%,True,annotator_A,2025-01-10T15:24:00Z
gold50_022,dtest_case_0022,q23,db_162,5,3,True,0%,True,annotator_A,2025-01-10T09:33:00Z
gold50_023,dtest_case_0023,q24,db_054,5,3,False,0%,True,annotator_B,2025-01-10T15:55:00Z
gold50_024,dtest_case_0024,q25,db_166,4,4,True,0%,True,annotator_B,2025-01-10T10:45:00Z
gold50_025,dtest_case_0025,q26,db_141,2,5,False,0%,True,annotator_C,2025-01-10T09:48:00Z
gold50_026,dtest_case_0026,q27,db_008,4,5,True,0%,True,annotator_B,2025-01-10T14:02:00Z
gold50_027,dtest_case_0027,q28,db_068,2,2,False,0%,True,annotator_A,2025-01-10T13:42:00Z
gold50_028,dtest_case_0028,q29,db_120,3,2,True,0%,True,annotator_C,2025-01-10T17:59:00Z
gold50_029,dtest_case_0029,q30,db_126,5,4,False,0%,True,annotator_A,2025-01-10T11:38:00Z
gold50_030,dtest_case_0030,q31,db_017,3,4,True,0%,True,annotator_C,2025-01-10T12:44:00Z
gold50_031,dtest_case_0031,q32,db_174,3,4,False,0%,True,annotator_A,2025-01-10T10:23:00Z
gold50_032,dtest_case_0032,q33,db_021,5,3,True,0%,True,annotator_A,2025-01-10T12:40:00Z
gold50_033,dtest_case_0033,q34,db_014,5,5,True,0%,True,annotator_A,2025-01-10T14:29:00Z
gold50_034,dtest_case_0034,q35,db_024,2,5,True,0%,True,annotator_B,2025-01-10T09:14:00Z
gold50_035,dtest_case_0035,q36,db_195,4,4,False,0%,True,annotator_B,2025-01-10T12:04:00Z
gold50_036,dtest_case_0036,q37,db_173,1,4,True,0%,True,annotator_A,2025-01-10T09:09:00Z
gold50_037,dtest_case_0037,q38,db_025,3,2,True,0%,True,annotator_A,2025-01-10T11:55:00Z
gold50_038,dtest_case_0038,q39,db_194,2,1,True,0%,True,annotator_C,2025-01-10T16:01:00Z
gold50_039,dtest_case_0039,q40,db_112,3,5,True,0%,True,annotator_B,2025-01-10T13:02:00Z
gold50_040,dtest_case_0040,q41,db_002,2,3,True,0%,True,annotator_B,2025-01-10T12:11:00Z
gold50_041,dtest_case_0041,q42,db_101,1,5,True,0%,True,annotator_B,2025-01-10T12:02:00Z
gold50_042,dtest_case_0042,q43,db_033,3,2,False,0%,True,annotator_A,2025-01-10T10:57:00Z
gold50_043,dtest_case_0043,q44,db_052,1,4,True,0%,True,annotator_B,2025-01-10T17:12:00Z
gold50_044,dtest_case_0044,q45,db_032,1,3,False,0%,True,annotator_A,2025-01-10T12:26:00Z
gold50_045,dtest_case_0045,q46,db_178,1,1,True,0%,True,annotator_B,2025-01-10T12:03:00Z
gold50_046,dtest_case_0046,q47,db_144,2,2,True,0%,True,annotator_A,2025-01-10T12:05:00Z
gold50_047,dtest_case_0047,q48,db_005,2,1,True,0%,True,annotator_C,2025-01-10T14:02:00Z
gold50_048,dtest_case_0048,q49,db_047,1,4,True,0%,True,annotator_C,2025-01-10T15:16:00Z
gold50_049,dtest_case_0049,q50,db_172,1,3,True,0%,True,annotator_A,2025-01-10T13:43:00Z
