annotation_case_id,case_id_hidden_hash,split,sampling_stratum,difficulty_tier,spider_question_text,database_id,spider_db_schema_path,spider_db_schema_hash,foreign_key_context_path,num_checkpoints,checkpoint_material_path,endpoint_material_path,boundary_flag_visible,unverifiable_flag_visible,deep_nesting_flag_visible,ground_truth_sql_hidden_flag,cpfc_labels_hidden,model_source_hidden_flag
annot_001,hash_997059,dtest,uncertain,medium,Show me the complaints where id is USA.,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:8a777de59339e0da,spider_database_schema_files/employee_hire_evaluation_fk.json,4,checkpoint_materials/annot_001_checkpoints.json,endpoint_materials/annot_001_endpoint.json,False,False,False,True,True,True
annot_002,hash_956748,dtest,uncertain,extra_hard,List the top 23 employees by budget.,course_teach,spider_database_schema_files/course_teach_schema.sql,sha256:77e033fedbd833c3,spider_database_schema_files/course_teach_fk.json,5,checkpoint_materials/annot_002_checkpoints.json,endpoint_materials/annot_002_endpoint.json,False,True,True,True,True,True
annot_003,hash_882355,dtest,boundary,extra_hard,What are the names of all players?,hospital,spider_database_schema_files/hospital_schema.sql,sha256:9a1e6d9190ba5994,spider_database_schema_files/hospital_fk.json,3,checkpoint_materials/annot_003_checkpoints.json,endpoint_materials/annot_003_endpoint.json,True,False,False,True,True,True
annot_004,hash_364512,dtest,onset_t1,medium,List orders ordered by type descending.,flight_2,spider_database_schema_files/flight_2_schema.sql,sha256:d15bc5aa6c4e5caa,spider_database_schema_files/flight_2_fk.json,3,checkpoint_materials/annot_004_checkpoints.json,endpoint_materials/annot_004_endpoint.json,False,False,False,True,True,True
annot_005,hash_701863,dtest,onset_t1,medium,Show the doctors grouped by category having count greater than 5.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:134566587b6cbc0a,spider_database_schema_files/hospital_fk.json,3,checkpoint_materials/annot_005_checkpoints.json,endpoint_materials/annot_005_endpoint.json,False,False,False,True,True,True
annot_006,hash_368799,dtest,onset_t0,medium,Find all players joined with concerts on budget.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:3163337bc20d3eb6,spider_database_schema_files/hospital_fk.json,4,checkpoint_materials/annot_006_checkpoints.json,endpoint_materials/annot_006_endpoint.json,False,True,False,True,True,True
annot_007,hash_337549,dtest,boundary,medium,Show the age and rating of all manufacturers.,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:461d2e62d3e219ca,spider_database_schema_files/customer_complaints_fk.json,4,checkpoint_materials/annot_007_checkpoints.json,endpoint_materials/annot_007_endpoint.json,True,False,False,True,True,True
annot_008,hash_694319,dtest,onset_none,medium,How many departments have score equal to open?,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:c9dba091079e5a06,spider_database_schema_files/soccer_1_fk.json,4,checkpoint_materials/annot_008_checkpoints.json,endpoint_materials/annot_008_endpoint.json,False,False,False,True,True,True
annot_009,hash_584299,dtest,boundary,hard,Count the number of players per city.,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:02c27aa7d92f64ca,spider_database_schema_files/soccer_1_fk.json,3,checkpoint_materials/annot_009_checkpoints.json,endpoint_materials/annot_009_endpoint.json,True,False,False,True,True,True
annot_010,hash_712210,dtest,uncertain,medium,Find the flights that has the most cars.,concert_singer,spider_database_schema_files/concert_singer_schema.sql,sha256:d562c5205789dc38,spider_database_schema_files/concert_singer_fk.json,5,checkpoint_materials/annot_010_checkpoints.json,endpoint_materials/annot_010_endpoint.json,False,False,False,True,True,True
annot_011,hash_548982,dtest,uncertain,medium,List the top 34 kennels by year.,world_1,spider_database_schema_files/world_1_schema.sql,sha256:9eec52d4ede09206,spider_database_schema_files/world_1_fk.json,4,checkpoint_materials/annot_011_checkpoints.json,endpoint_materials/annot_011_endpoint.json,True,True,False,True,True,True
annot_012,hash_224046,dtest,onset_t1,hard,Find all doctors joined with airports on year.,store_1,spider_database_schema_files/store_1_schema.sql,sha256:e330783ec0644b85,spider_database_schema_files/store_1_fk.json,5,checkpoint_materials/annot_012_checkpoints.json,endpoint_materials/annot_012_endpoint.json,False,False,False,True,True,True
annot_013,hash_506619,dtest,onset_t0,medium,What is the average year of courses?,world_1,spider_database_schema_files/world_1_schema.sql,sha256:2335a6f076132b43,spider_database_schema_files/world_1_fk.json,3,checkpoint_materials/annot_013_checkpoints.json,endpoint_materials/annot_013_endpoint.json,False,False,True,True,True,True
annot_014,hash_132097,dtest,uncertain,easy,How many students are there?,car_1,spider_database_schema_files/car_1_schema.sql,sha256:be6efc196afda802,spider_database_schema_files/car_1_fk.json,3,checkpoint_materials/annot_014_checkpoints.json,endpoint_materials/annot_014_endpoint.json,False,False,False,True,True,True
annot_015,hash_766326,dtest,onset_t2,medium,What is the total status for each products?,concert_singer,spider_database_schema_files/concert_singer_schema.sql,sha256:6ddf58c65f0433c0,spider_database_schema_files/concert_singer_fk.json,4,checkpoint_materials/annot_015_checkpoints.json,endpoint_materials/annot_015_endpoint.json,False,False,False,True,True,True
annot_016,hash_749150,dtest,onset_t1,medium,Show me the products where id is open.,store_1,spider_database_schema_files/store_1_schema.sql,sha256:7c66b573d516820a,spider_database_schema_files/store_1_fk.json,5,checkpoint_materials/annot_016_checkpoints.json,endpoint_materials/annot_016_endpoint.json,False,False,False,True,True,True
annot_017,hash_330229,dtest,uncertain,medium,What are the names of all airports?,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:c657285a21afef35,spider_database_schema_files/soccer_1_fk.json,3,checkpoint_materials/annot_017_checkpoints.json,endpoint_materials/annot_017_endpoint.json,False,False,True,True,True,True
