case_id,split,database_id,endpoint_correct,endpoint_error_type,cpfc_onset,cpfc_pattern_label,n_checkpoints,deep_nesting_flag,boundary_flag,unverifiable_flag,difficulty_tier,model_source,manifest_hash,simple_step_onset,simple_step_pattern,descriptive_error_label,selection_status,selection_reason,eligible_pair_A,eligible_pair_B,eligible_pair_C
case_001,dtest,flight_2,True,none,t1,local_verification_collapse,3,False,False,False,extra_hard,cpfc_model,h000000,t1,dependency_mediated_propagation,none,candidate,eligible_but_not_selected,False,True,False
case_002,dtest,employee_hire_evaluation,False,timeout,uncertain,local_verification_collapse,4,False,False,False,medium,cpfc_model,h000001,uncertain,dependency_mediated_propagation,timeout_uncertain,selected,selected_for_pair_demonstration,True,False,False
case_003,dtest,hospital,False,none,t2,local_verification_collapse,5,False,False,True,extra_hard,cpfc_model,h000002,t1,burst_associated_degradation,none_t2,candidate,eligible_but_not_selected,True,True,False
case_004,dtest,store_1,False,none,t2,local_verification_collapse,5,False,False,False,hard,cpfc_model,h000003,t1,dependency_mediated_propagation,none_t2,candidate,eligible_but_not_selected,True,True,False
case_005,dtest,concert_singer,True,execution_error,t0,burst_associated_degradation,4,False,False,False,hard,cpfc_model,h000004,t0,local_verification_collapse,none,candidate,eligible_but_not_selected,False,True,False
case_006,dtest,flight_2,False,execution_error,t0,local_verification_collapse,4,False,False,False,medium,cpfc_model,h000005,t1,local_verification_collapse,execution_error_t0,candidate,eligible_but_not_selected,True,True,False
case_007,dtest,concert_singer,False,execution_error,t0,dependency_mediated_propagation,3,False,False,False,medium,cpfc_model,h000006,t2,dependency_mediated_propagation,execution_error_t0,candidate,eligible_but_not_selected,True,True,False
case_008,dtest,dog_kennels,True,execution_error,none,boundary_case,3,True,False,False,medium,cpfc_model,h000007,none,boundary_case,none,candidate,eligible_but_not_selected,False,False,True
case_009,dtest,concert_singer,False,syntax_error,t2,local_verification_collapse,5,False,False,False,medium,cpfc_model,h000008,t1,burst_associated_degradation,syntax_error_t2,candidate,eligible_but_not_selected,True,True,False
case_010,dtest,concert_singer,False,semantic_error,t2,boundary_case,4,False,False,False,extra_hard,cpfc_model,h000009,t0,boundary_case,semantic_error_t2,candidate,eligible_but_not_selected,True,True,False
case_011,dtest,flight_2,False,timeout,t0,local_verification_collapse,3,False,False,False,easy,cpfc_model,h000010,t0,dependency_mediated_propagation,timeout_t0,candidate,eligible_but_not_selected,True,True,False
case_012,dtest,course_teach,False,execution_error,uncertain,local_verification_collapse,5,True,False,True,extra_hard,cpfc_model,h000011,uncertain,burst_associated_degradation,execution_error_uncertain,selected,selected_for_pair_demonstration,True,False,True
case_013,dtest,world_1,False,none,none,burst_associated_degradation,5,False,False,False,medium,cpfc_model,h000012,none,local_verification_collapse,none_none,excluded,excluded_by_selection_rule,False,False,False
case_014,dtest,employee_hire_evaluation,True,none,t0,burst_associated_degradation,5,False,False,False,hard,cpfc_model,h000013,t1,burst_associated_degradation,none,candidate,eligible_but_not_selected,False,True,False
case_015,dtest,employee_hire_evaluation,True,other,t0,unverifiable_or_excluded,3,False,False,False,hard,cpfc_model,h000014,t0,unverifiable_or_excluded,none,candidate,eligible_but_not_selected,False,True,False
case_016,dtest,hospital,True,semantic_error,t0,boundary_case,3,False,True,False,extra_hard,cpfc_model,h000015,t0,burst_associated_degradation,none,selected,selected_for_pair_demonstration,False,True,False
case_017,dtest,flight_2,False,semantic_error,t1,boundary_case,3,False,False,False,medium,cpfc_model,h000016,t0,boundary_case,semantic_error_t1,selected,selected_for_pair_demonstration,True,True,False
case_018,dtest,hospital,True,semantic_error,t1,local_verification_collapse,3,False,False,False,medium,cpfc_model,h000017,t1,burst_associated_degradation,none,selected,selected_for_pair_demonstration,False,True,False
case_019,dtest,store_1,True,execution_error,t1,local_verification_collapse,5,False,False,False,medium,cpfc_model,h000018,t2,local_verification_collapse,none,candidate,eligible_but_not_selected,False,True,False
case_020,dtest,store_1,True,none,t0,boundary_case,5,False,True,False,easy,cpfc_model,h000019,t0,burst_associated_degradation,none,candidate,eligible_but_not_selected,False,True,False
case_021,dtest,hospital,False,semantic_error,t2,boundary_case,5,False,False,True,medium,cpfc_model,h000020,t2,boundary_case,semantic_error_t2,candidate,eligible_but_not_selected,True,True,False
case_022,dtest,flight_2,False,none,t0,unverifiable_or_excluded,5,False,False,True,medium,cpfc_model,h000021,t1,local_verification_collapse,none_t0,candidate,eligible_but_not_selected,True,True,False
case_023,dtest,hospital,False,execution_error,t0,dependency_mediated_propagation,4,False,False,True,medium,cpfc_model,h000022,t0,dependency_mediated_propagation,execution_error_t0,selected,selected_for_pair_demonstration,True,True,False
case_024,dtest,employee_hire_evaluation,False,timeout,t1,dependency_mediated_propagation,5,False,False,False,hard,cpfc_model,h000023,t2,dependency_mediated_propagation,timeout_t1,candidate,eligible_but_not_selected,True,True,False
case_025,dtest,customer_complaints,False,timeout,t1,boundary_case,4,False,True,False,medium,cpfc_model,h000024,t1,burst_associated_degradation,timeout_t1,selected,selected_for_pair_demonstration,True,True,False
case_026,dtest,soccer_1,True,semantic_error,none,dependency_mediated_propagation,4,False,False,False,medium,cpfc_model,h000025,none,dependency_mediated_propagation,none,selected,selected_for_pair_demonstration,False,False,False
case_027,dtest,concert_singer,False,execution_error,t0,unverifiable_or_excluded,4,False,False,False,medium,cpfc_model,h000026,t0,dependency_mediated_propagation,execution_error_t0,candidate,eligible_but_not_selected,True,True,False
case_028,dtest,soccer_1,False,execution_error,t1,unverifiable_or_excluded,3,False,True,False,hard,cpfc_model,h000027,t1,unverifiable_or_excluded,execution_error_t1,candidate,eligible_but_not_selected,True,True,False
case_029,dtest,flight_2,False,syntax_error,t2,dependency_mediated_propagation,4,False,False,False,extra_hard,cpfc_model,h000028,t1,dependency_mediated_propagation,syntax_error_t2,candidate,eligible_but_not_selected,True,True,False
case_030,dtest,car_1,False,execution_error,t0,boundary_case,6,True,False,False,hard,cpfc_model,h000029,t0,boundary_case,execution_error_t0,candidate,eligible_but_not_selected,True,True,True
case_031,dtest,soccer_1,False,syntax_error,t2,boundary_case,3,False,True,False,hard,cpfc_model,h000030,t2,boundary_case,syntax_error_t2,selected,selected_for_pair_demonstration,True,True,False
