sample_id,case_id,spider_question_id,database_id,split,included_current_local,included_gpt4,included_claude3,reason_if_missing
cms_0000,dtest_case_0000,q1,db_103,cross_model,True,True,True,shared_across_all_models
cms_0001,dtest_case_0001,q2,db_180,cross_model,True,True,True,shared_across_all_models
cms_0002,dtest_case_0002,q3,db_093,cross_model,True,True,True,shared_across_all_models
cms_0003,dtest_case_0003,q4,db_015,cross_model,True,True,True,shared_across_all_models
cms_0004,dtest_case_0004,q5,db_107,cross_model,True,False,True,api_timeout
cms_0005,dtest_case_0005,q6,db_072,cross_model,True,True,True,shared_across_all_models
cms_0006,dtest_case_0006,q7,db_189,cross_model,True,True,True,shared_across_all_models
cms_0007,dtest_case_0007,q8,db_021,cross_model,True,True,True,shared_across_all_models
cms_0008,dtest_case_0008,q9,db_103,cross_model,True,True,True,shared_across_all_models
cms_0009,dtest_case_0009,q10,db_122,cross_model,True,True,True,shared_across_all_models
cms_0010,dtest_case_0010,q11,db_075,cross_model,True,True,True,shared_across_all_models
cms_0011,dtest_case_0011,q12,db_088,cross_model,True,True,True,shared_across_all_models
cms_0012,dtest_case_0012,q13,db_117,cross_model,True,True,True,shared_across_all_models
cms_0013,dtest_case_0013,q14,db_100,cross_model,True,True,True,shared_across_all_models
cms_0014,dtest_case_0014,q15,db_104,cross_model,True,True,True,shared_across_all_models
cms_0015,dtest_case_0015,q16,db_152,cross_model,True,True,True,shared_across_all_models
cms_0016,dtest_case_0016,q17,db_131,cross_model,True,True,True,shared_across_all_models
cms_0017,dtest_case_0017,q18,db_150,cross_model,True,True,True,shared_across_all_models
cms_0018,dtest_case_0018,q19,db_053,cross_model,True,True,True,shared_across_all_models
cms_0019,dtest_case_0019,q20,db_002,cross_model,True,True,True,shared_across_all_models
cms_0020,dtest_case_0020,q21,db_088,cross_model,True,True,True,shared_across_all_models
cms_0021,dtest_case_0021,q22,db_158,cross_model,True,True,True,shared_across_all_models
cms_0022,dtest_case_0022,q23,db_038,cross_model,True,True,True,shared_across_all_models
cms_0023,dtest_case_0023,q24,db_130,cross_model,True,True,True,shared_across_all_models
cms_0024,dtest_case_0024,q25,db_192,cross_model,True,True,True,shared_across_all_models
cms_0025,dtest_case_0025,q26,db_188,cross_model,True,True,True,shared_across_all_models
cms_0026,dtest_case_0026,q27,db_021,cross_model,True,True,True,shared_across_all_models
cms_0027,dtest_case_0027,q28,db_161,cross_model,True,True,True,shared_across_all_models
cms_0028,dtest_case_0028,q29,db_058,cross_model,True,True,True,shared_across_all_models
cms_0029,dtest_case_0029,q30,db_022,cross_model,True,True,True,shared_across_all_models
