case_id,model_source,spider_question_id,database_id,raw_sql_file,extraction_log_file,generation_timestamp,output_present,extraction_success,token_count,generation_latency_ms
dtest_case_0000,current_local,q1,db_103,raw_outputs/current_local/dtest_case_0000.sql,extraction_logs/current_local/dtest_case_0000.json,2025-01-14T12:12:17Z,True,True,276,6210
dtest_case_0000,gpt4,q1,db_103,raw_outputs/gpt4/dtest_case_0000.sql,extraction_logs/gpt4/dtest_case_0000.json,2025-01-15T06:45:51Z,True,True,367,444
dtest_case_0000,claude3,q1,db_103,raw_outputs/claude3/dtest_case_0000.sql,extraction_logs/claude3/dtest_case_0000.json,2025-01-16T11:56:15Z,True,True,288,2624
dtest_case_0001,current_local,q2,db_180,raw_outputs/current_local/dtest_case_0001.sql,extraction_logs/current_local/dtest_case_0001.json,2025-01-14T09:29:24Z,True,True,389,4684
dtest_case_0001,gpt4,q2,db_180,raw_outputs/gpt4/dtest_case_0001.sql,extraction_logs/gpt4/dtest_case_0001.json,2025-01-15T00:29:48Z,True,True,191,575
dtest_case_0001,claude3,q2,db_180,raw_outputs/claude3/dtest_case_0001.sql,extraction_logs/claude3/dtest_case_0001.json,2025-01-16T17:03:17Z,True,True,202,631
dtest_case_0002,current_local,q3,db_093,raw_outputs/current_local/dtest_case_0002.sql,extraction_logs/current_local/dtest_case_0002.json,2025-01-14T00:52:45Z,True,False,448,7160
dtest_case_0002,gpt4,q3,db_093,raw_outputs/gpt4/dtest_case_0002.sql,extraction_logs/gpt4/dtest_case_0002.json,2025-01-15T23:03:11Z,True,True,342,2308
dtest_case_0002,claude3,q3,db_093,raw_outputs/claude3/dtest_case_0002.sql,extraction_logs/claude3/dtest_case_0002.json,2025-01-16T04:42:59Z,True,True,489,7686
dtest_case_0003,current_local,q4,db_015,raw_outputs/current_local/dtest_case_0003.sql,extraction_logs/current_local/dtest_case_0003.json,2025-01-14T13:23:10Z,True,True,275,7520
dtest_case_0003,gpt4,q4,db_015,raw_outputs/gpt4/dtest_case_0003.sql,extraction_logs/gpt4/dtest_case_0003.json,2025-01-15T06:51:03Z,True,True,197,7942
dtest_case_0003,claude3,q4,db_015,raw_outputs/claude3/dtest_case_0003.sql,extraction_logs/claude3/dtest_case_0003.json,2025-01-16T21:52:50Z,True,True,379,7474
dtest_case_0004,current_local,q5,db_107,raw_outputs/current_local/dtest_case_0004.sql,extraction_logs/current_local/dtest_case_0004.json,2025-01-14T01:56:25Z,True,False,308,6207
dtest_case_0004,gpt4,q5,db_107,raw_outputs/gpt4/dtest_case_0004.sql,extraction_logs/gpt4/dtest_case_0004.json,2025-01-15T05:04:04Z,True,True,264,2936
dtest_case_0004,claude3,q5,db_107,raw_outputs/claude3/dtest_case_0004.sql,extraction_logs/claude3/dtest_case_0004.json,2025-01-16T08:34:19Z,True,True,110,2114
dtest_case_0005,current_local,q6,db_072,raw_outputs/current_local/dtest_case_0005.sql,extraction_logs/current_local/dtest_case_0005.json,2025-01-14T09:34:49Z,True,True,194,6559
dtest_case_0005,gpt4,q6,db_072,raw_outputs/gpt4/dtest_case_0005.sql,extraction_logs/gpt4/dtest_case_0005.json,2025-01-15T02:31:34Z,True,True,169,1092
dtest_case_0005,claude3,q6,db_072,raw_outputs/claude3/dtest_case_0005.sql,extraction_logs/claude3/dtest_case_0005.json,2025-01-16T14:24:08Z,True,True,406,3881
dtest_case_0006,current_local,q7,db_189,raw_outputs/current_local/dtest_case_0006.sql,extraction_logs/current_local/dtest_case_0006.json,2025-01-14T10:40:55Z,True,True,78,1418
dtest_case_0006,gpt4,q7,db_189,raw_outputs/gpt4/dtest_case_0006.sql,extraction_logs/gpt4/dtest_case_0006.json,2025-01-15T01:11:41Z,True,True,89,1760
dtest_case_0006,claude3,q7,db_189,raw_outputs/claude3/dtest_case_0006.sql,extraction_logs/claude3/dtest_case_0006.json,2025-01-16T04:10:58Z,True,True,173,1174
dtest_case_0007,current_local,q8,db_021,raw_outputs/current_local/dtest_case_0007.sql,extraction_logs/current_local/dtest_case_0007.json,2025-01-14T05:07:58Z,True,True,139,1113
dtest_case_0007,gpt4,q8,db_021,raw_outputs/gpt4/dtest_case_0007.sql,extraction_logs/gpt4/dtest_case_0007.json,2025-01-15T05:36:59Z,True,True,333,4236
dtest_case_0007,claude3,q8,db_021,raw_outputs/claude3/dtest_case_0007.sql,extraction_logs/claude3/dtest_case_0007.json,2025-01-16T12:16:49Z,True,True,273,517
dtest_case_0008,current_local,q9,db_103,raw_outputs/current_local/dtest_case_0008.sql,extraction_logs/current_local/dtest_case_0008.json,2025-01-14T18:57:02Z,True,True,403,6383
dtest_case_0008,gpt4,q9,db_103,raw_outputs/gpt4/dtest_case_0008.sql,extraction_logs/gpt4/dtest_case_0008.json,2025-01-15T12:44:32Z,True,True,196,2583
dtest_case_0008,claude3,q9,db_103,raw_outputs/claude3/dtest_case_0008.sql,extraction_logs/claude3/dtest_case_0008.json,2025-01-16T07:27:32Z,True,True,353,1904
dtest_case_0009,current_local,q10,db_122,raw_outputs/current_local/dtest_case_0009.sql,extraction_logs/current_local/dtest_case_0009.json,2025-01-14T12:42:44Z,True,True,219,4651
dtest_case_0009,gpt4,q10,db_122,raw_outputs/gpt4/dtest_case_0009.sql,extraction_logs/gpt4/dtest_case_0009.json,2025-01-15T05:59:06Z,True,True,94,1025
dtest_case_0009,claude3,q10,db_122,raw_outputs/claude3/dtest_case_0009.sql,extraction_logs/claude3/dtest_case_0009.json,2025-01-16T18:30:22Z,True,False,209,6706
dtest_case_0010,current_local,q11,db_075,raw_outputs/current_local/dtest_case_0010.sql,extraction_logs/current_local/dtest_case_0010.json,2025-01-14T20:29:38Z,True,True,405,3529
dtest_case_0010,gpt4,q11,db_075,raw_outputs/gpt4/dtest_case_0010.sql,extraction_logs/gpt4/dtest_case_0010.json,2025-01-15T13:12:28Z,True,True,499,5543
dtest_case_0010,claude3,q11,db_075,raw_outputs/claude3/dtest_case_0010.sql,extraction_logs/claude3/dtest_case_0010.json,2025-01-16T12:45:26Z,True,True,66,4655
dtest_case_0011,current_local,q12,db_088,raw_outputs/current_local/dtest_case_0011.sql,extraction_logs/current_local/dtest_case_0011.json,2025-01-14T01:59:23Z,True,True,375,2714
dtest_case_0011,gpt4,q12,db_088,raw_outputs/gpt4/dtest_case_0011.sql,extraction_logs/gpt4/dtest_case_0011.json,2025-01-15T06:09:40Z,True,True,368,1635
dtest_case_0011,claude3,q12,db_088,raw_outputs/claude3/dtest_case_0011.sql,extraction_logs/claude3/dtest_case_0011.json,2025-01-16T14:29:36Z,True,True,245,7259
dtest_case_0012,current_local,q13,db_117,raw_outputs/current_local/dtest_case_0012.sql,extraction_logs/current_local/dtest_case_0012.json,2025-01-14T03:49:03Z,True,True,66,6867
dtest_case_0012,gpt4,q13,db_117,raw_outputs/gpt4/dtest_case_0012.sql,extraction_logs/gpt4/dtest_case_0012.json,2025-01-15T21:16:09Z,True,True,71,4769
dtest_case_0012,claude3,q13,db_117,raw_outputs/claude3/dtest_case_0012.sql,extraction_logs/claude3/dtest_case_0012.json,2025-01-16T23:58:17Z,True,True,241,886
dtest_case_0013,current_local,q14,db_100,raw_outputs/current_local/dtest_case_0013.sql,extraction_logs/current_local/dtest_case_0013.json,2025-01-14T11:35:58Z,True,True,430,2707
dtest_case_0013,gpt4,q14,db_100,raw_outputs/gpt4/dtest_case_0013.sql,extraction_logs/gpt4/dtest_case_0013.json,2025-01-15T06:28:10Z,True,True,416,6422
dtest_case_0013,claude3,q14,db_100,raw_outputs/claude3/dtest_case_0013.sql,extraction_logs/claude3/dtest_case_0013.json,2025-01-16T18:10:57Z,True,False,479,5033
dtest_case_0014,current_local,q15,db_104,raw_outputs/current_local/dtest_case_0014.sql,extraction_logs/current_local/dtest_case_0014.json,2025-01-14T03:16:34Z,True,True,88,3542
dtest_case_0014,gpt4,q15,db_104,raw_outputs/gpt4/dtest_case_0014.sql,extraction_logs/gpt4/dtest_case_0014.json,2025-01-15T22:28:28Z,True,True,337,3401
dtest_case_0014,claude3,q15,db_104,raw_outputs/claude3/dtest_case_0014.sql,extraction_logs/claude3/dtest_case_0014.json,2025-01-16T14:13:19Z,True,True,76,3978
dtest_case_0015,current_local,q16,db_152,raw_outputs/current_local/dtest_case_0015.sql,extraction_logs/current_local/dtest_case_0015.json,2025-01-14T16:43:55Z,True,True,70,6646
dtest_case_0015,gpt4,q16,db_152,raw_outputs/gpt4/dtest_case_0015.sql,extraction_logs/gpt4/dtest_case_0015.json,2025-01-15T15:36:58Z,True,True,196,6272
dtest_case_0015,claude3,q16,db_152,raw_outputs/claude3/dtest_case_0015.sql,extraction_logs/claude3/dtest_case_0015.json,2025-01-16T04:02:58Z,True,True,429,1133
dtest_case_0016,current_local,q17,db_131,raw_outputs/current_local/dtest_case_0016.sql,extraction_logs/current_local/dtest_case_0016.json,2025-01-14T14:33:34Z,True,False,330,991
