case_id,endpoint_correct,execution_accuracy,exact_match,endpoint_error_type,sql_execution_error,schema_error_flag,final_answer_mismatch_flag
dtest_case_0000,False,0.14,False,semantic_error,False,False,True
dtest_case_0001,False,0.09,False,syntax_error,True,False,False
dtest_case_0002,False,0.09,False,semantic_error,False,False,True
dtest_case_0003,False,0.09,False,syntax_error,True,False,False
dtest_case_0004,True,1.0,True,,False,False,False
dtest_case_0005,True,1.0,True,,False,False,False
dtest_case_0006,True,1.0,True,,False,False,False
dtest_case_0007,False,0.03,False,execution_error,True,False,False
dtest_case_0008,False,0.02,False,semantic_error,False,False,True
dtest_case_0009,False,0.04,False,semantic_error,False,False,True
dtest_case_0010,True,1.0,True,,False,False,False
dtest_case_0011,False,0.08,False,semantic_error,False,False,True
dtest_case_0012,False,0.1,False,schema_error,False,True,False
dtest_case_0013,True,1.0,True,,False,False,False
dtest_case_0014,True,1.0,True,,False,False,False
dtest_case_0015,True,1.0,True,,False,False,False
dtest_case_0016,False,0.09,False,syntax_error,True,False,False
dtest_case_0017,False,0.15,False,syntax_error,True,False,False
dtest_case_0018,False,0.19,False,syntax_error,True,False,False
dtest_case_0019,False,0.01,False,semantic_error,False,False,True
dtest_case_0020,False,0.15,False,semantic_error,False,False,True
dtest_case_0021,True,1.0,True,,False,False,False
dtest_case_0022,False,0.03,False,semantic_error,False,False,True
dtest_case_0023,False,0.1,False,semantic_error,False,False,True
dtest_case_0024,False,0.24,False,syntax_error,True,False,False
dtest_case_0025,False,0.28,False,syntax_error,True,False,False
dtest_case_0026,True,1.0,True,,False,False,False
dtest_case_0027,False,0.14,False,schema_error,False,True,False
dtest_case_0028,False,0.12,False,syntax_error,True,False,False
dtest_case_0029,True,1.0,True,,False,False,False
dtest_case_0030,False,0.26,False,semantic_error,False,False,True
dtest_case_0031,True,1.0,True,,False,False,False
dtest_case_0032,True,1.0,True,,False,False,False
dtest_case_0033,False,0.12,False,semantic_error,False,False,True
dtest_case_0034,False,0.26,False,semantic_error,False,False,True
dtest_case_0035,False,0.02,False,semantic_error,False,False,True
dtest_case_0036,False,0.3,False,semantic_error,False,False,True
dtest_case_0037,True,1.0,True,,False,False,False
dtest_case_0038,False,0.06,False,semantic_error,False,False,True
dtest_case_0039,False,0.05,False,syntax_error,True,False,False
dtest_case_0040,True,1.0,True,,False,False,False
dtest_case_0041,False,0.17,False,semantic_error,False,False,True
dtest_case_0042,True,1.0,True,,False,False,False
dtest_case_0043,False,0.01,False,schema_error,False,True,False
dtest_case_0044,False,0.07,False,execution_error,True,False,False
dtest_case_0045,False,0.16,False,syntax_error,True,False,False
dtest_case_0046,False,0.09,False,schema_error,False,True,False
dtest_case_0047,False,0.09,False,schema_error,False,True,False
dtest_case_0048,False,0.26,False,execution_error,True,False,False
dtest_case_0049,True,1.0,True,,False,False,False
dtest_case_0050,False,0.05,False,syntax_error,True,False,False
dtest_case_0051,False,0.0,False,schema_error,False,True,False
dtest_case_0052,False,0.11,False,schema_error,False,True,False
dtest_case_0053,False,0.01,False,schema_error,False,True,False
dtest_case_0054,False,0.02,False,syntax_error,True,False,False
dtest_case_0055,False,0.12,False,syntax_error,True,False,False
dtest_case_0056,True,1.0,True,,False,False,False
dtest_case_0057,True,1.0,True,,False,False,False
dtest_case_0058,True,1.0,True,,False,False,False
dtest_case_0059,False,0.27,False,semantic_error,False,False,True
dtest_case_0060,False,0.21,False,semantic_error,False,False,True
dtest_case_0061,False,0.09,False,syntax_error,True,False,False
dtest_case_0062,False,0.17,False,execution_error,True,False,False
dtest_case_0063,False,0.01,False,schema_error,False,True,False
dtest_case_0064,False,0.03,False,syntax_error,True,False,False
dtest_case_0065,False,0.28,False,syntax_error,True,False,False
dtest_case_0066,True,1.0,True,,False,False,False
dtest_case_0067,False,0.3,False,syntax_error,True,False,False
dtest_case_0068,True,1.0,True,,False,False,False
dtest_case_0069,False,0.08,False,schema_error,False,True,False
dtest_case_0070,False,0.26,False,execution_error,True,False,False
dtest_case_0071,True,1.0,True,,False,False,False
dtest_case_0072,True,1.0,True,,False,False,False
dtest_case_0073,False,0.06,False,syntax_error,True,False,False
dtest_case_0074,False,0.02,False,schema_error,False,True,False
dtest_case_0075,False,0.02,False,semantic_error,False,False,True
dtest_case_0076,False,0.28,False,syntax_error,True,False,False
dtest_case_0077,True,1.0,True,,False,False,False
dtest_case_0078,False,0.17,False,semantic_error,False,False,True
dtest_case_0079,True,1.0,True,,False,False,False
dtest_case_0080,False,0.13,False,syntax_error,True,False,False
dtest_case_0081,False,0.15,False,syntax_error,True,False,False
dtest_case_0082,False,0.01,False,syntax_error,True,False,False
dtest_case_0083,True,1.0,True,,False,False,False
dtest_case_0084,False,0.02,False,schema_error,False,True,False
dtest_case_0085,False,0.08,False,semantic_error,False,False,True
dtest_case_0086,False,0.17,False,syntax_error,True,False,False
dtest_case_0087,False,0.14,False,syntax_error,True,False,False
dtest_case_0088,False,0.04,False,syntax_error,True,False,False
dtest_case_0089,False,0.02,False,syntax_error,True,False,False
dtest_case_0090,True,1.0,True,,False,False,False
dtest_case_0091,False,0.23,False,semantic_error,False,False,True
dtest_case_0092,False,0.29,False,schema_error,False,True,False
